id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2016-11-20 22:42:05.562133,,,,,,f,,1,1,1,2,1,2016-11-20 22:42:05.568684,received
2,2016-11-20 22:42:06.100783,,,,,,f,,4,2,1,3,1,2016-11-20 22:42:06.107876,received
3,2016-11-20 22:42:06.199473,,,,,,f,,9,3,1,4,1,2016-11-20 22:42:06.206245,received
5,2016-11-20 22:44:12.794383,,,,,,f,,6,4,3,4,1,2016-11-20 22:44:12.847996,received
4,2016-11-20 22:44:12.782307,,,,,,f,,2,4,3,2,1,2016-11-20 22:44:12.996467,received
6,2016-11-20 22:44:16.557011,,,,,,f,,2,5,3,2,1,2016-11-20 22:44:16.711832,received
7,2016-11-20 22:44:16.569168,,,,,,f,,6,5,3,4,1,2016-11-20 22:44:16.876181,received
9,2016-11-20 22:44:17.928188,,,,,,f,,6,6,3,4,1,2016-11-20 22:44:18.026508,received
8,2016-11-20 22:44:17.906275,,,,,,f,,2,6,3,2,1,2016-11-20 22:44:18.041307,received
11,2016-11-20 22:44:19.666456,,,,,,f,,6,7,3,4,1,2016-11-20 22:44:19.728532,received
10,2016-11-20 22:44:19.64153,,,,,,f,,2,7,3,2,1,2016-11-20 22:44:19.884842,received
13,2016-11-20 22:44:29.93735,,,,,,f,,6,8,3,4,1,2016-11-20 22:44:30.006576,received
12,2016-11-20 22:44:29.92338,,,,,,f,,2,8,3,2,1,2016-11-20 22:44:30.090484,received
14,2016-11-20 22:44:31.25972,,,,,,f,,7,9,4,2,1,2016-11-20 22:44:31.399701,received
15,2016-11-20 22:44:31.282395,,,,,,f,,5,9,4,3,1,2016-11-20 22:44:31.581447,received
16,2016-11-20 22:44:31.946172,,,,,,f,,3,10,2,3,1,2016-11-20 22:44:31.985026,received
17,2016-11-20 22:44:31.958642,,,,,,f,,8,10,2,4,1,2016-11-20 22:44:31.993669,received
18,2016-11-20 22:44:34.154869,,,,,,f,,2,11,3,2,1,2016-11-20 22:44:34.293337,received
19,2016-11-20 22:44:34.166256,,,,,,f,,6,11,3,4,1,2016-11-20 22:44:34.296223,received
21,2016-11-20 22:44:34.689397,,,,,,f,,8,12,2,4,1,2016-11-20 22:44:34.735729,received
20,2016-11-20 22:44:34.636908,,,,,,f,,3,12,2,3,1,2016-11-20 22:44:34.851844,received
22,2016-11-20 22:44:35.969092,,,,,,f,,2,13,3,2,1,2016-11-20 22:44:36.156409,received
23,2016-11-20 22:44:35.980727,,,,,,f,,6,13,3,4,1,2016-11-20 22:44:36.250959,received
25,2016-11-20 22:44:36.852152,,,,,,f,,8,14,2,4,1,2016-11-20 22:44:37.041308,received
24,2016-11-20 22:44:36.839847,,,,,,f,,3,14,2,3,1,2016-11-20 22:44:37.044102,received
26,2016-11-20 22:44:37.57004,,,,,,f,,2,15,3,2,1,2016-11-20 22:44:37.622435,received
27,2016-11-20 22:44:37.584924,,,,,,f,,6,15,3,4,1,2016-11-20 22:44:37.842614,received
28,2016-11-20 22:44:38.263051,,,,,,f,,7,16,4,2,1,2016-11-20 22:44:38.423195,received
29,2016-11-20 22:44:38.274873,,,,,,f,,5,16,4,3,1,2016-11-20 22:44:38.482727,received
31,2016-11-20 22:44:39.029256,,,,,,f,,8,17,2,4,1,2016-11-20 22:44:39.145368,received
30,2016-11-20 22:44:39.01677,,,,,,f,,3,17,2,3,1,2016-11-20 22:44:39.21753,received
32,2016-11-20 22:44:42.408636,,,,,,f,,3,18,2,3,1,2016-11-20 22:44:42.561214,received
33,2016-11-20 22:44:42.439187,,,,,,f,,8,18,2,4,1,2016-11-20 22:44:42.575409,received
34,2016-11-20 22:44:47.958622,,,,,,f,,3,19,2,3,1,2016-11-20 22:44:48.177689,received
35,2016-11-20 22:44:47.99014,,,,,,f,,8,19,2,4,1,2016-11-20 22:44:48.262353,received
36,2016-11-20 22:44:49.946839,,,,,,f,,3,20,2,3,1,2016-11-20 22:44:50.048697,received
37,2016-11-20 22:44:49.966572,,,,,,f,,8,20,2,4,1,2016-11-20 22:44:50.292923,received
39,2016-11-20 22:44:52.419767,,,,,,f,,8,21,2,4,1,2016-11-20 22:44:52.669558,received
38,2016-11-20 22:44:52.384685,,,,,,f,,3,21,2,3,1,2016-11-20 22:44:52.718357,received
40,2016-11-20 22:45:00.882837,,,,,,f,,2,22,3,2,1,2016-11-20 22:45:00.934827,received
41,2016-11-20 22:45:00.895065,,,,,,f,,6,22,3,4,1,2016-11-20 22:45:01.318758,received
42,2016-11-20 22:45:01.961805,,,,,,f,,2,23,3,2,1,2016-11-20 22:45:02.114282,received
43,2016-11-20 22:45:01.973958,,,,,,f,,6,23,3,4,1,2016-11-20 22:45:02.192539,received
44,2016-11-20 22:45:03.126761,,,,,,f,,2,24,3,2,1,2016-11-20 22:45:03.258081,received
45,2016-11-20 22:45:03.137779,,,,,,f,,6,24,3,4,1,2016-11-20 22:45:03.387817,received
46,2016-11-20 22:45:15.755227,,,,,,f,,2,25,3,2,1,2016-11-20 22:45:15.913013,received
47,2016-11-20 22:45:15.775269,,,,,,f,,6,25,3,4,1,2016-11-20 22:45:16.122963,received
48,2016-11-20 22:45:17.352268,,,,,,f,,2,26,3,2,1,2016-11-20 22:45:17.570942,received
49,2016-11-20 22:45:17.370356,,,,,,f,,6,26,3,4,1,2016-11-20 22:45:17.705087,received
51,2016-11-20 22:45:19.134861,,,,,,f,,6,27,3,4,1,2016-11-20 22:45:19.434623,received
50,2016-11-20 22:45:19.119462,,,,,,f,,2,27,3,2,1,2016-11-20 22:45:19.455692,received
52,2016-11-20 22:45:23.61743,,,,,,f,,2,28,3,2,1,2016-11-20 22:45:23.673867,received
53,2016-11-20 22:45:23.628532,,,,,,f,,6,28,3,4,1,2016-11-20 22:45:23.746611,received
